kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,kp_20,kp_21,kp_22,kp_23,kp_24,kp_25,kp_26,kp_27,kp_28,kp_29,kp_30,kp_31,kp_32,kp_33,kp_34,kp_35,kp_36,kp_37,kp_38,kp_39,kp_40,kp_41,kp_42,kp_43,kp_44,kp_45,kp_46,kp_47,kp_48,kp_49,kp_50,kp_51,kp_52,kp_53,kp_54,kp_55,kp_56,kp_57,kp_58,kp_59,kp_60,kp_61,kp_62,label
0.732560807466507,0.9605253577232361,6.693296938919957e-07,0.6685640811920166,0.9211640238761902,-0.051079871132969856,0.6408733248710632,0.8379595875740051,-0.07287394851446152,0.703461080789566,0.7800380051136017,-0.08755704462528228,0.7695733428001403,0.7407257258892059,-0.10384079068899155,0.6262702584266663,0.6541430354118347,-0.046952490136027335,0.5885995626449585,0.5211289703845978,-0.07130458950996399,0.5749101340770721,0.4317491203546524,-0.09059762582182884,0.5641458868980408,0.35197491347789767,-0.10699485242366791,0.6865372717380523,0.6272661507129669,-0.04985740445554256,0.6747911512851715,0.4753887116909027,-0.06874976381659507,0.6731825709342957,0.37693797051906586,-0.09022431224584579,0.6710654497146606,0.2912101686000824,-0.10711665749549866,0.737226527929306,0.6477355778217315,-0.05877620838582516,0.7630995213985443,0.5263853371143341,-0.09396313056349755,0.7718431115150451,0.43408428132534027,-0.1291331686079502,0.7782646656036377,0.3474459290504456,-0.15471516847610473,0.7830780744552612,0.7021293342113495,-0.0708603635430336,0.7776086747646331,0.6621659934520722,-0.11264807879924774,0.7600385129451752,0.7173173129558563,-0.12519222721457482,0.7459790110588074,0.772634869813919,-0.13286396935582162,w
0.6118313789367675,0.8978521764278412,5.09251304947611e-07,0.547848904132843,0.859469872713089,-0.041790783777832984,0.512019956111908,0.7759509444236755,-0.058646291866898535,0.5539115965366364,0.7109100520610809,-0.06995966732501983,0.6100654542446137,0.6663303077220917,-0.08290614113211632,0.5011670589447021,0.6036244988441467,-0.03776263557374478,0.4587526500225067,0.4780974477529526,-0.05945827625691891,0.4406888037919998,0.3978617757558823,-0.07639541104435921,0.4249637722969055,0.3241643249988556,-0.09139952659606934,0.5569801211357117,0.5780863583087921,-0.04469204321503639,0.5349809169769287,0.42828053534030913,-0.0639253344386816,0.5270574212074279,0.33837944865226743,-0.08409235179424286,0.5188051104545593,0.259748375415802,-0.09916042983531952,0.6076327860355377,0.5940272867679596,-0.05691572241485119,0.6194679021835328,0.47349171042442323,-0.0936810128390789,0.6214514255523682,0.3884927034378052,-0.1255742244422436,0.6233986139297485,0.30563872754573823,-0.1475248947739601,0.6552438080310822,0.6429397881031036,-0.0713095374405384,0.6390583753585816,0.5898384749889374,-0.11238112673163414,0.6221460580825806,0.6493896603584289,-0.12102454677224159,0.6124351263046265,0.7081394970417023,-0.12546919509768487,w
0.5795261561870575,0.8237903475761413,4.32661596505568e-07,0.5210053563117981,0.7940030515193939,-0.032240922562777996,0.48725069463253023,0.7249600708484649,-0.045909596234560014,0.5189209163188935,0.6585821032524108,-0.056096461787819865,0.5605440735816956,0.6123096525669098,-0.06716821119189262,0.4825738698244095,0.5844025015830994,-0.027062461897730827,0.45190319418907166,0.48615491986274717,-0.044147229939699176,0.4391124904155731,0.420313349366188,-0.058277595043182376,0.42879457771778107,0.35964315831661225,-0.07093602418899536,0.5289696514606476,0.5606983304023743,-0.033092791214585304,0.520897901058197,0.4411577045917511,-0.047110994905233385,0.5210459411144257,0.3690729081630707,-0.06092378981411457,0.5196257352828979,0.3083968609571457,-0.07199075147509575,0.5698701620101929,0.5703781425952912,-0.043956395238637924,0.5749333798885345,0.46450887620449066,-0.07207538709044456,0.5755692005157471,0.3970321536064148,-0.09417657032608986,0.5764856994152069,0.3359845787286758,-0.10954588130116463,0.6076377749443054,0.6052825748920441,-0.05686913840472698,0.5880892872810364,0.541456139087677,-0.08804523944854736,0.5705024600028992,0.5829412460327148,-0.09337303042411804,0.5588687121868133,0.6319965660572052,-0.09604832008481026,w
0.5779939115047454,0.8214649379253387,4.1598011364385455e-07,0.5186992883682251,0.7951979041099548,-0.031426082365214825,0.48356232345104216,0.7291649043560028,-0.045639151334762575,0.5141686499118805,0.6621511995792388,-0.056794548407197,0.5561749160289764,0.6157029569149017,-0.06881408244371415,0.48093317449092865,0.5872058391571044,-0.026186385191977024,0.454989019036293,0.4858786016702652,-0.042282313108444214,0.44589910805225375,0.4199008852243423,-0.055673961713910106,0.4380782037973404,0.36000630259513855,-0.06810179203748704,0.5260240435600281,0.5639580726623535,-0.03243632465600967,0.5144695162773132,0.4465242952108383,-0.046315786242485044,0.5124439775943757,0.37456782162189484,-0.06028998382389546,0.5084006726741791,0.3145880222320557,-0.07185918390750885,0.5673922896385193,0.5725801527500153,-0.04338986091315746,0.5720747947692871,0.46721427142620087,-0.07194427251815796,0.5719731509685516,0.3990989446640015,-0.09485190957784653,0.5718547284603119,0.3391200751066208,-0.11098129898309708,0.6064387440681458,0.605503362417221,-0.05616367720067501,0.5841978967189789,0.5427616477012634,-0.08911626562476158,0.5644717931747436,0.5849413812160492,-0.09627277702093125,0.5506323337554931,0.6351580083370209,-0.10027009546756745,w
0.60001699924469,0.8397157311439514,4.850918230658863e-07,0.5379679262638092,0.8057162284851074,-0.032937024161219595,0.5027121603488922,0.7333986163139343,-0.047569910436868666,0.5372556924819947,0.6672539710998535,-0.05933365188539028,0.5840402603149414,0.6232761800289154,-0.07254221066832542,0.5032337188720704,0.581310260295868,-0.027683024108409882,0.47451159358024597,0.4747066080570221,-0.04625754281878471,0.4643972456455231,0.403023236989975,-0.06185738407075405,0.45596036612987517,0.33826816380023955,-0.0757438786327839,0.5529240727424621,0.560609632730484,-0.035513170436024664,0.5475663721561432,0.43384366035461425,-0.05145139098167419,0.5492989540100097,0.3545504927635193,-0.06758023351430893,0.5490357339382171,0.2876464337110519,-0.08026736751198768,0.5963784277439117,0.5749450206756592,-0.04835471846163273,0.6027207791805267,0.4659049421548843,-0.0789854422211647,0.6029832184314727,0.3935649245977402,-0.10410408452153205,0.603967159986496,0.32811289727687837,-0.12155613601207733,0.635887885093689,0.6152733981609344,-0.0632573664188385,0.6168142795562744,0.5503723561763764,-0.09772293642163277,0.5949961841106415,0.5929397463798523,-0.10493175834417343,0.5795068621635437,0.6431930184364318,-0.10882567688822746,w
0.5867176294326782,0.802397507429123,4.825336333169616e-07,0.5203383982181549,0.7740129292011261,-0.03181295655667782,0.47483265697956084,0.70227809548378,-0.0475326057523489,0.4991264849901199,0.61976078748703,-0.061269663646817206,0.539802747964859,0.5587110042572021,-0.07713264152407646,0.45327489376068114,0.5525054633617401,-0.030400654301047325,0.4108045190572739,0.44410312473773955,-0.05199706554412842,0.3946119695901871,0.371389839053154,-0.06924974992871284,0.3825241893529892,0.30501178205013274,-0.08429584428668022,0.5018568694591522,0.5196900248527527,-0.040009120106697084,0.47417392432689665,0.38580538928508756,-0.05797563754022121,0.46230973303318024,0.29989553391933443,-0.07827631160616874,0.45116508603096006,0.227619007229805,-0.09499604180455208,0.5493560075759888,0.5262849986553192,-0.05443911291658878,0.5387542128562928,0.41315973699092867,-0.08636241480708122,0.5244964361190796,0.3385709345340729,-0.11834086999297141,0.5112618625164032,0.2745100826025009,-0.1419269859790802,0.5966482818126678,0.5586504876613617,-0.07046079412102699,0.5664424777030945,0.5022097319364548,-0.10778396129608155,0.540078592300415,0.5387277424335479,-0.12243569567799568,0.5195127189159393,0.5836193442344666,-0.13262095153331757,w
0.5630646824836731,0.8761612474918365,4.979344197408863e-07,0.4976785719394684,0.8314916014671325,-0.036114631593227385,0.45976981818675994,0.7514211177825928,-0.05462618507444859,0.49291656315326693,0.6806313335895539,-0.07077524438500404,0.5461569368839264,0.6372207760810852,-0.0881261684000492,0.4690530151128769,0.5823876857757568,-0.033455788530409335,0.4270228385925293,0.4624006986618042,-0.056073034554719924,0.40911526381969454,0.3860913008451462,-0.07409230396151542,0.3962369441986084,0.31613552272319795,-0.08984630480408669,0.5236669838428497,0.5618678510189057,-0.043658125400543216,0.512659078836441,0.413148894906044,-0.06272342056035995,0.5105517983436585,0.32283459007740023,-0.08321256786584855,0.5089381396770477,0.24829312264919282,-0.09924270063638688,0.5714551210403442,0.5835175514221191,-0.058983279019594194,0.5819800138473511,0.4653478980064392,-0.09102290123701096,0.5837485253810882,0.38408497869968417,-0.11975605711340905,0.5855909943580627,0.31187005937099455,-0.1403217598795891,0.6137455761432647,0.6351422786712646,-0.0766114816069603,0.6021947681903839,0.5609612762928009,-0.10936039313673973,0.5791733026504516,0.5900762140750885,-0.11649963706731796,0.5600886523723603,0.630721491575241,-0.12138084247708321,w
0.5601260125637054,0.8861191868782043,5.176059232780971e-07,0.49371039867401123,0.841075348854065,-0.03466473072767258,0.45517737567424776,0.762023389339447,-0.05223848149180412,0.485749813914299,0.6932354032993316,-0.06796377375721932,0.5378160655498505,0.6485301554203033,-0.08475941345095635,0.4676774650812149,0.5891686379909515,-0.031111403554677963,0.42617976665496826,0.47141705453395844,-0.0533099714666605,0.4089339882135391,0.39614103436470033,-0.07065342962741852,0.39592340886592864,0.3259396404027939,-0.08587892204523087,0.5235138416290284,0.5706481039524078,-0.04237792119383812,0.5177180707454682,0.42279205322265623,-0.06246968619525432,0.5186348199844361,0.33117926120758057,-0.08233611285686493,0.5189150094985961,0.2553272247314453,-0.09740008935332298,0.5712495446205139,0.5949674904346466,-0.05896969176828861,0.5812521040439605,0.48226781487464904,-0.09271445646882057,0.5823191106319427,0.4030111998319626,-0.12119702026247978,0.5840776145458222,0.3326892465353012,-0.1405898541212082,0.6118778705596923,0.6487440168857574,-0.07777189761400223,0.5962789952754974,0.5734708905220032,-0.11121262311935425,0.5698570370674133,0.6050403416156769,-0.11789882853627205,0.5492837250232696,0.6491403400897979,-0.12201911062002183,w
0.49413109123706817,0.8748049795627594,5.012099194345865e-07,0.42473999261856077,0.834416002035141,-0.032590774819254875,0.38047185242176057,0.7647346317768097,-0.050234067067503926,0.3908341944217682,0.6905676603317261,-0.066572605073452,0.4378280431032181,0.6427979528903961,-0.08269610404968261,0.39686432778835296,0.5834933042526245,-0.025944339856505395,0.3635634183883667,0.46170260608196256,-0.04707540236413479,0.3518984317779541,0.3868939280509949,-0.06349059864878655,0.34441058337688446,0.3183503657579422,-0.07743420898914337,0.4447303354740143,0.5689424693584442,-0.037419306486845015,0.42781545519828795,0.4209960013628006,-0.06099582985043526,0.42150243520736697,0.3319933354854584,-0.07934427857398987,0.4154574364423752,0.2569736450910568,-0.09169209748506546,0.4883442848920822,0.5886250436306,-0.05431394279003143,0.4854604870080948,0.46988360583782196,-0.08955560028553008,0.4740979164838791,0.3882115989923477,-0.11505492106080055,0.46517967283725736,0.3187063068151474,-0.13066927269101142,0.5287260115146637,0.6380346953868866,-0.07351146563887596,0.5059235215187072,0.5482380509376525,-0.1031030349433422,0.48017190396785736,0.5815661191940308,-0.1056939534842968,0.46181226670742037,0.6360427975654602,-0.10656293928623199,w
0.5021829664707184,0.8677435457706452,4.057468544260701e-07,0.4397041410207748,0.8253918945789337,-0.02755633294582367,0.3988302081823349,0.7512508630752563,-0.040075890347361566,0.41001145243644715,0.6790951788425446,-0.05124468244612217,0.45312952995300293,0.6337557375431061,-0.06227980442345142,0.4179503172636032,0.5869251966476441,-0.01887833997607231,0.3860992819070816,0.474858757853508,-0.03652438260614872,0.37447868585586547,0.4050130367279053,-0.05013883821666241,0.3674245536327362,0.3416572242975235,-0.06175011582672596,0.4625663191080093,0.5745487749576569,-0.030099504813551902,0.4520373702049255,0.43661232888698576,-0.04912735931575298,0.4492885828018188,0.3544193089008331,-0.06328491754829883,0.4459932714700699,0.28647795021533967,-0.07241861298680305,0.5013513326644897,0.5938215494155884,-0.04659218825399876,0.49950594305992124,0.4804198294878006,-0.07816805690526962,0.4920831471681595,0.40476512014865873,-0.10042261034250259,0.48565533459186555,0.3387679308652878,-0.11375404298305511,0.5365614175796509,0.6412477850914001,-0.06505525782704354,0.5162175834178925,0.5556280076503753,-0.09289252609014512,0.4940240681171417,0.5897697329521179,-0.09446402490139008,0.4773924767971039,0.6419888198375702,-0.09427562952041627,w
